127.0.0.1, 2018-05-16 21:29:20, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001591
127.0.0.1, 2018-05-16 21:29:20, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.043627
127.0.0.1, 2018-05-16 21:29:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001290
127.0.0.1, 2018-05-16 21:29:29, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.136665
127.0.0.1, 2018-05-16 21:29:29, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001645
127.0.0.1, 2018-05-16 21:29:29, GET, /favicon.ico, HTTP/1.1, 400, 0.001311
127.0.0.1, 2018-05-16 21:30:30, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.166006
127.0.0.1, 2018-05-16 21:30:30, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001724
127.0.0.1, 2018-05-16 21:30:30, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.004480
127.0.0.1, 2018-05-16 21:30:30, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001699
127.0.0.1, 2018-05-16 21:30:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001374
127.0.0.1, 2018-05-16 21:30:48, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.138276
127.0.0.1, 2018-05-16 21:30:48, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.002447
127.0.0.1, 2018-05-16 21:30:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001366
127.0.0.1, 2018-05-16 21:30:52, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.135971
127.0.0.1, 2018-05-16 21:30:52, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001777
127.0.0.1, 2018-05-16 21:30:52, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 200, 0.001788
127.0.0.1, 2018-05-16 21:30:52, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 200, 0.012358
127.0.0.1, 2018-05-16 21:30:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001257
127.0.0.1, 2018-05-16 21:31:36, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.161823
127.0.0.1, 2018-05-16 21:31:36, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001482
127.0.0.1, 2018-05-16 21:31:36, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001669
127.0.0.1, 2018-05-16 21:31:37, GET, /favicon.ico, HTTP/1.1, 400, 0.001323
127.0.0.1, 2018-05-16 21:35:38, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.149076
127.0.0.1, 2018-05-16 21:35:38, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001541
127.0.0.1, 2018-05-16 21:35:38, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001688
127.0.0.1, 2018-05-16 21:35:38, GET, /grubmeet/static/js/ui_functions.js, HTTP/1.1, 304, 0.001897
127.0.0.1, 2018-05-16 21:35:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001305
127.0.0.1, 2018-05-16 21:35:50, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.136301
